state,est_population,state_votes,electoral_votes,state_percentage
Alabama,4903185,2309900,9.0,47.11019469997563
Alaska,731545,349473,3.0,47.771907401458556
Arizona,7278717,3385845,11.0,46.517057882591125
Arkansas,3017804,1212065,6.0,40.16380785498329
California,39512223,16909159,55.0,42.7947549293797
Colorado,5758736,3256062,9.0,56.54126183245768
Connecticut,3565287,1823932,7.0,51.15806946257061
Delaware,973764,504010,3.0,51.75894775325438
Florida,21477737,11067083,29.0,51.52816146319326
Georgia,10617423,4992772,16.0,47.024329726714285
Hawaii,1415872,574341,4.0,40.564471929665956
Idaho,1787065,868125,4.0,48.57825540760968
Illinois,12671821,5939321,20.0,46.87030380242903
Indiana,6732219,3034891,11.0,45.08009914710142
Iowa,3155070,1688233,6.0,53.508575087082065
Kansas,2913314,1334330,6.0,45.8011048585906
Kentucky,4467673,2135193,8.0,47.792060878224525
Louisiana,4648794,2148062,8.0,46.20686569462962
Maine,1344212,786337,4.0,58.497989900402615
Maryland,6045680,2919884,10.0,48.297031930237786
Massachusetts,6892503,3498681,11.0,50.7606743152669
Michigan,9986857,5533240,16.0,55.40521907943611
Minnesota,5639632,3268372,10.0,57.95363952825291
Mississippi,2976149,1260790,6.0,42.363134372640616
Missouri,6137428,3010316,10.0,49.04849392937889
Montana,1068778,605738,3.0,56.675754927590205
Nebraska,1934408,946256,5.0,48.91708471015422
Nevada,3080156,1405376,6.0,45.62677994231461
New Hampshire,1359711,804453,4.0,59.16352813208101
New Jersey,8882190,4246876,14.0,47.81338836480643
New Mexico,2096829,923724,5.0,44.05337774324945
New York,19453561,6768394,29.0,34.79257088200973
North Carolina,10488084,5522618,15.0,52.656119077612274
North Dakota,762062,361808,3.0,47.47750183055972
Ohio,11689100,5764587,18.0,49.31591824862478
Oklahoma,3956971,1560699,7.0,39.44175987137636
Oregon,4217737,2357873,7.0,55.90374648774924
Pennsylvania,12801989,6869253,20.0,53.65770115878087
Rhode Island,1059361,513602,4.0,48.48224542908414
South Carolina,5148714,2513329,9.0,48.814694310074316
South Dakota,884659,422609,3.0,47.770835994434016
Tennessee,6829174,3049514,11.0,44.65421440426031
Texas,28995881,11279106,38.0,38.89899396400475
Utah,3205958,1463880,6.0,45.66123448903573
Vermont,623989,367428,3.0,58.883730322169136
Virginia,8535519,4442604,13.0,52.04843431313315
Washington,7614893,4034129,12.0,52.976831059871756
West Virginia,1792147,793902,5.0,44.29893306743253
Wisconsin,5822434,3297225,10.0,56.62966724912639
Wyoming,578759,276765,3.0,47.820422662973705
