state,biden_state_votes,trump_state_votes,total_state_votes,state_winner,biden_state_percent,trump_state_percent,est_population,pop_vote_percent,electoral_votes
Alabama,843473,1434159,2309900,trump,0.365155634443049,0.620874929650634,4903185,0.471101946999756,9
Alaska,153551,189457,356796,trump,0.430360766376305,0.530995302637922,731545,0.487729394637377,3
Arizona,1672143,1661686,3385845,biden,0.49386283187801,0.490774385714644,7278717,0.465170578825911,11
Arkansas,423503,759715,1217613,trump,0.347814124849193,0.623937983579347,3017804,0.403476501456026,6
California,11016457,5931349,17322626,biden,0.635957677548427,0.342404725472916,39512223,0.43841183018227,55
Colorado,1803941,1364226,3256108,biden,0.554017557157195,0.418974432052008,5758736,0.56542060618858,9
Connecticut,1080575,715651,1824826,biden,0.592152347675888,0.392174925170948,3565287,0.511831445827503,7
Delaware,296268,200603,504010,biden,0.587821670204956,0.398013928295074,973764,0.517589477532544,3
Florida,5297045,5668731,11067456,trump,0.478614507254422,0.51219819622504,21477737,0.515298981452282,29
Georgia,2474507,2461837,4998566,biden,0.495043378440937,0.492508651481245,10617423,0.470789004073776,16
Hawaii,366130,196864,574469,biden,0.63733639239019,0.342688639421797,1415872,0.405735122948967,4
Idaho,287021,554118,868105,trump,0.330629359351691,0.638307578000357,1787065,0.485771362541374,4
Illinois,4223888,2809201,7170200,biden,0.589089286212379,0.39178837410393,12671821,0.565838169589043,20
Indiana,1241774,1729446,3035088,trump,0.409139372565145,0.569817415508216,6732219,0.450830253739517,11
Iowa,758881,897467,1688310,trump,0.449491503337657,0.531577139269447,3155070,0.535110156034573,6
Kansas,551199,753370,1334330,trump,0.413090464877504,0.564605457420578,2913314,0.458011048585906,6
Kentucky,772474,1326646,2136768,trump,0.36151514811154,0.620865718692904,4467673,0.478273141297494,8
Louisiana,856034,1255776,2148062,trump,0.398514568015262,0.584608824140085,4648794,0.462068656946296,8
Maine,420588,342325,786952,biden,0.534451910662912,0.435001118238469,1344212,0.585437416121862,4
Maryland,1970394,973012,2998114,biden,0.657211166753499,0.324541361669369,6045680,0.495910137486602,10
Massachusetts,2319420,1149614,3549597,biden,0.653431924807239,0.323871695857304,6892503,0.514993899893841,11
Michigan,2804039,2649852,5544102,biden,0.505769735116706,0.477958738854372,9986857,0.555139820265775,16
Minnesota,1716578,1483807,3268708,biden,0.525154893003597,0.453942964620884,5639632,0.579595973637996,10
Mississippi,539494,756731,1315240,trump,0.41018673398011,0.575355828594021,2976149,0.441926798691867,6
Missouri,1252371,1717685,3028133,trump,0.413578597769649,0.567242257853271,6137428,0.493387946872859,10
Montana,244786,343602,605750,trump,0.404104003301692,0.567234007428807,1068778,0.566768777051923,3
Nebraska,374362,556331,951390,trump,0.393489525851649,0.584755988606145,1934408,0.491824889061666,5
Nevada,703486,669890,1405376,biden,0.50056781957284,0.476662473245594,3080156,0.456267799423146,6
New Hampshire,424921,365654,804430,biden,0.528226197431722,0.45455042701043,1359711,0.59161836596159,4
New Jersey,2599245,1876252,4551202,biden,0.571111763441834,0.412254169338122,8882190,0.512396379721668,14
New Mexico,501474,401828,923756,biden,0.542864132952858,0.434993656333491,2096829,0.440549038572053,5
New York,4007900,2960070,7073212,biden,0.566630831933215,0.418490213498478,19453561,0.363594716669097,29
North Carolina,2684302,2758775,5524813,trump,0.485862960429611,0.499342692684802,10488084,0.526770475903892,15
North Dakota,114902,235595,361819,trump,0.317567623590801,0.651140487370757,762062,0.474789452826673,3
Ohio,2677738,3150642,5925806,trump,0.451877432369538,0.531681597406327,11689100,0.506951433386659,18
Oklahoma,503890,1020280,1560699,trump,0.322861743359866,0.65373271848063,3956971,0.394417598713764,7
Oregon,1346075,966537,2385441,biden,0.564287693554357,0.405181683386845,4217737,0.565573671378751,7
Pennsylvania,3455528,3373911,6915265,biden,0.499695673267763,0.487893233303424,12801989,0.540171140593856,20
Rhode Island,306192,199830,513602,biden,0.596165902780752,0.389075587711886,1059361,0.484822454290841,4
South Carolina,1091541,1385103,2513329,trump,0.434300881420618,0.551102939567402,5148714,0.488146943100743,9
South Dakota,150471,261043,422609,trump,0.356052521361353,0.617693896722502,884659,0.47770835994434,3
Tennessee,1139376,1849820,3049514,trump,0.373625436708931,0.606595018091407,6829174,0.446542144042603,11
Texas,5261055,5891778,11323963,trump,0.464594859591117,0.520292939848002,28995881,0.390536952472663,38
Utah,560282,865140,1487696,trump,0.376610544089653,0.581530097546811,3205958,0.464041013637733,6
Vermont,242820,112704,367428,biden,0.66086416930664,0.306737646559326,623989,0.588837303221691,3
Virginia,2413582,1962614,4456310,biden,0.541609986737907,0.440412359104281,8535519,0.522090103718356,13
Washington,2365643,1581049,4052544,biden,0.583742705816396,0.390137405047299,7614893,0.532186598025737,12
West Virginia,235847,545051,794204,trump,0.296960226843481,0.686285891282341,1792147,0.443157843636711,5
Wisconsin,1630716,1610151,3297434,biden,0.494540906656509,0.488304238993108,5822434,0.566332568132159,10
Wyoming,73491,193559,276765,trump,0.265535743320145,0.699362274854118,578759,0.478204226629737,3
